OrderDetailID,OrderID,ProductID,Quantity
1 ,10248 ,11 ,12 
2 ,10248 ,42 ,10 
3 ,10248 ,72 ,5 
4 ,10249 ,14 ,9 
5 ,10249 ,51 ,40 
6 ,10250 ,41 ,10 
7 ,10250 ,51 ,35 
8 ,10250 ,65 ,15 
9 ,10251 ,22 ,6 
10 ,10251 ,57 ,15 
11 ,10251 ,65 ,20 
12 ,10252 ,20 ,40 
13 ,10252 ,33 ,25 
14 ,10252 ,60 ,40 
15 ,10253 ,31 ,20 
16 ,10253 ,39 ,42 
17 ,10253 ,49 ,40 
18 ,10254 ,24 ,15 
19 ,10254 ,55 ,21 
20 ,10254 ,74 ,21 
21 ,10255 ,2 ,20 
22 ,10255 ,16 ,35 
23 ,10255 ,36 ,25 
24 ,10255 ,59 ,30 
25 ,10256 ,53 ,15 
26 ,10256 ,77 ,12 
27 ,10257 ,27 ,25 
28 ,10257 ,39 ,6 
29 ,10257 ,77 ,15 
30 ,10258 ,2 ,50 
31 ,10258 ,5 ,65 
32 ,10258 ,32 ,6 
33 ,10259 ,21 ,10 
34 ,10259 ,37 ,1 
35 ,10260 ,41 ,16 
36 ,10260 ,57 ,50 
37 ,10260 ,62 ,15 
38 ,10260 ,70 ,21 
39 ,10261 ,21 ,20 
40 ,10261 ,35 ,20 
41 ,10262 ,5 ,12 
42 ,10262 ,7 ,15 
43 ,10262 ,56 ,2 
44 ,10263 ,16 ,60 
45 ,10263 ,24 ,28 
46 ,10263 ,30 ,60 
47 ,10263 ,74 ,36 
48 ,10264 ,2 ,35 
49 ,10264 ,41 ,25 
50 ,10265 ,17 ,30 
51 ,10265 ,70 ,20 
52 ,10266 ,12 ,12 
53 ,10267 ,40 ,50 
54 ,10267 ,59 ,70 
55 ,10267 ,76 ,15 
56 ,10268 ,29 ,10 
57 ,10268 ,72 ,4 
58 ,10269 ,33 ,60 
59 ,10269 ,72 ,20 
60 ,10270 ,36 ,30 
61 ,10270 ,43 ,25 
62 ,10271 ,33 ,24 
63 ,10272 ,20 ,6 
64 ,10272 ,31 ,40 
65 ,10272 ,72 ,24 
66 ,10273 ,10 ,24 
67 ,10273 ,31 ,15 
68 ,10273 ,33 ,20 
69 ,10273 ,40 ,60 
70 ,10273 ,76 ,33 
71 ,10274 ,71 ,20 
72 ,10274 ,72 ,7 
73 ,10275 ,24 ,12 
74 ,10275 ,59 ,6 
75 ,10276 ,10 ,15 
76 ,10276 ,13 ,10 
77 ,10277 ,28 ,20 
78 ,10277 ,62 ,12 
79 ,10278 ,44 ,16 
80 ,10278 ,59 ,15 
81 ,10278 ,63 ,8 
82 ,10278 ,73 ,25 
83 ,10279 ,17 ,15 
84 ,10280 ,24 ,12 
85 ,10280 ,55 ,20 
86 ,10280 ,75 ,30 
87 ,10281 ,19 ,1 
88 ,10281 ,24 ,6 
89 ,10281 ,35 ,4 
90 ,10282 ,30 ,6 
91 ,10282 ,57 ,2 
92 ,10283 ,15 ,20 
93 ,10283 ,19 ,18 
94 ,10283 ,60 ,35 
95 ,10283 ,72 ,3 
96 ,10284 ,27 ,15 
97 ,10284 ,44 ,21 
98 ,10284 ,60 ,20 
99 ,10284 ,67 ,5 
100 ,10285 ,1 ,45 
101 ,10285 ,40 ,40 
102 ,10285 ,53 ,36 
103 ,10286 ,35 ,100 
104 ,10286 ,62 ,40 
105 ,10287 ,16 ,40 
106 ,10287 ,34 ,20 
107 ,10287 ,46 ,15 
108 ,10288 ,54 ,10 
109 ,10288 ,68 ,3 
110 ,10289 ,3 ,30 
111 ,10289 ,64 ,9 
112 ,10290 ,5 ,20 
113 ,10290 ,29 ,15 
114 ,10290 ,49 ,15 
115 ,10290 ,77 ,10 
116 ,10291 ,13 ,20 
117 ,10291 ,44 ,24 
118 ,10291 ,51 ,2 
119 ,10292 ,20 ,20 
120 ,10293 ,18 ,12 
121 ,10293 ,24 ,10 
122 ,10293 ,63 ,5 
123 ,10293 ,75 ,6 
124 ,10294 ,1 ,18 
125 ,10294 ,17 ,15 
126 ,10294 ,43 ,15 
127 ,10294 ,60 ,21 
128 ,10294 ,75 ,6 
129 ,10295 ,56 ,4 
130 ,10296 ,11 ,12 
131 ,10296 ,16 ,30 
132 ,10296 ,69 ,15 
133 ,10297 ,39 ,60 
134 ,10297 ,72 ,20 
135 ,10298 ,2 ,40 
136 ,10298 ,36 ,40 
137 ,10298 ,59 ,30 
138 ,10298 ,62 ,15 
139 ,10299 ,19 ,15 
140 ,10299 ,70 ,20 
141 ,10300 ,66 ,30 
142 ,10300 ,68 ,20 
143 ,10301 ,40 ,10 
144 ,10301 ,56 ,20 
145 ,10302 ,17 ,40 
146 ,10302 ,28 ,28 
147 ,10302 ,43 ,12 
148 ,10303 ,40 ,40 
149 ,10303 ,65 ,30 
150 ,10303 ,68 ,15 
151 ,10304 ,49 ,30 
152 ,10304 ,59 ,10 
